Materialnr.;Unnamed: 1;Artikelbezeichnung;Artikelbezeichnung 2;"Waren
gruppe";" Artkel 
VK 01.01.19 ";" Material/
100mm
01.01.2019 "; Schnitt ; Preiseinheit ;Max. Zuschnitt; Sonder Rabatte 
412529298;3842529298;Nutenstein einschwenkbar mit Feder ;Nut 10, M5, L=19,0 mm, H = 1,5 mm;010124; 0,71 € ;;;1.0;;
412529299;3842529299;Nutenstein einschwenkbar mit Feder ;Nut 10, M6, L=19,0 mm, H = 1,5 mm;010124; 0,71 € ;;;1.0;;
412529300;3842529300;Nutenstein einschwenkbar mit Feder ;Nut 10, M8, L=19,0 mm, H = 1,5 mm;010124; 0,71 € ;;;1.0;;
412529323;3842529323;Nutenstein einschwenkbar Nut 10, M6 ;L=19,0 mm H=1,5 mm, stahl verzinkt;010124; 0,52 € ;;;1.0;;
412529324;3842529324;Nutenstein einschwenkbar Nut 10, M8 ;L=16,0 mm H=1,0 mm, stahl verzinkt;010124; 0,52 € ;;;1.0;;
412529325;3842529325;Nutensteinprofil einschwenkbar Nut 10, ;ESD, Länge 1500 mm, H=5,2 mm,stahl blan;010122; 20,00 € ;;;1.0;;
412529383;3842529383;"Winkel 40 x 40; inkl. Befestigung";Nut10, ESD;010124; 3,24 € ;;;1.0;;
412529386;3842529386;"Winkel 40 x 80; inkl. Befestigung, Nut10";ESD;010124; 8,20 € ;;;1.0;;
412529395;412529395;Würfelverbinder 40/2, Nut 10, ESD;inkl. Befestigung (2x Schraube S12x30) ABDK schwarz!!;010122; 6,85 € ;;;1.0;;
412529397;412529397;Würfelverbinder 40/3, Nut 10, ESD;inkl. Befestigung (3x Schraube S12x30) ABDK schwarz!! ;010122; 8,09 € ;;;1.0;;
412529404;3842529404;Eckwinkel 40 inkl. 3x Senkschraube ;Nut 10, S12 x 30, Zinkdruckguss blank;010122; 5,73 € ;;;1.0;;
412530231;3842530231;"Winkel 80x80; Nut10, ESD";Material: Aluminiumdruckguss;010124; 4,69 € ;;;1.0;;
412530232;412530232;Abdeckkappe für Winkel 80x80;Material. PA schwarz;010122; 2,70 € ;;;1.0;;
412530235;3842530235;Zentralschraube M12 x 30 ;B=30 mm, S=M12, T=T50;010124; 0,70 € ;;;1.0;;
412530236;3842530236;Zentralschraube S12 x 30 (selbstformend);B=30 mm, S=S12, T=T50;010124; 0,70 € ;;;1.0;;
412530281;3842530281;Hammermutter Nut 10, M4 ;L=19,0 mm, H=3,0 mm, stahl verzinkt;010124; 34,96 € ;;;100.0;;
412530283;3842530283;Hammermutter Nut 10, M5 ;L=19,0 mm, H=3,0 mm, stahl verzinkt;010124; 0,35 € ;;;1.0;;
412530285;3842530285;Hammermutter Nut 10, M6 ;L=19,0 mm, H=3,0 mm, stahl verzinkt;010124; 0,35 € ;;;1.0;;
412530287;3842530287;Hammermutter Nut 10, M8 ;L=19,0 mm, H=3,0 mm, stahl verzinkt;010124; 0,35 € ;;;1.0;;
412530303;3842530303;Gleiter Nut10;Material: Kunststoff POM schwarz;010123; 2,13 € ;;;1.0;;
412530329;3842530329;Gleiter flach Nut 10;Material: POM natur;010122; 3,25 € ;;;1.0;;
412530360;3842530360;Winkel 80x80 inkl. Befestigung, Nut10/10;ESD;010124; 10,22 € ;;;1.0;;
412530400;412530400;Bohrvorrichtung Nut10 Raster 40,50 mm;"D9,8, D17, D17V; LE1";010121; 142,35 € ;;;1.0;;
412535428;3842535428;Verbinder 45° 45 x 45 Nut 10 ESD ;Material: Aluminiumdruckguss;010122; 11,13 € ;;;1.0;;
412535458;3842535458;Schnellspannverbinder mit Hammer ;0°, Nut 10, B=22,5 mm;010122; 2,48 € ;;;1.0;;
412535466;3842535466;Schnellspannverbinder mit Hammer ;90°, Nut 10, B=22,5 mm;010122; 2,48 € ;;;1.0;;
412535571;3842535571;Innenwinkel R Nut 10 ESD;-;010124; 4,49 € ;;;1.0;;
412535572;3842535572;Innenwinkel Nut 10  ESD;-;010124; 4,49 € ;;;1.0;;
412535618;3842555592;Bolzenverbinder für Profil 100, Nut 10;Bearbeitung: D17;010122; 6,85 € ;;;1.0;;
412535620;3842555594;Bolzenverbinder für Profil 40, Nut 10;Bearbeitung: D17;010122; 4,29 € ;;;1.0;;
412535621;3842555596;Bolzenverbinder für Profil 50, Nut 10 ;Bearbeitung: D17;010122; 5,12 € ;;;1.0;;
412535622;3842555598;Bolzenverbinder für Profil 80, Nut 10;Bearbeitung: D17;010122; 4,85 € ;;;1.0;;
412535625;3842535625;Gehrungswinkel Nut 10 inkl. ;Gewindestift: DIN 913 M10x10;010121; 4,83 € ;;;1.0;;
412535634;3842535634;Schnellspannverbinder biegbar ;Stirn-Stirn, Nut 10, B=22,5 mm;010122; 6,97 € ;;;1.0;;
412535635;3842535635;Schnellspannverbinder biegbar Stirn-Nut ;Nut 10, B=22,5 mm;010122; 6,29 € ;;;1.0;;
412535637;3842535637;Rahmen-Eckverbinder 22,5x45 Nut10;"Alu-Druckguss; inkl. 4 Schrauben";010122; 2,48 € ;;;1.0;;
412535659;412535659;Kunststoffsch. schwer 40x40 Nut 10;inkl. Befestigungsmaterial;010122; 6,23 € ;;;1.0;;
412535745;412535745;Kunststoffsch. schwer 45x45 Nut 10;inkl. Befestigungsmaterial;010122; 5,64 € ;;;1.0;;
412535746;412535746;Kunststoffsch. schwer 45x60 Nut 10;inkl. Befestigungsmaterial;010122; 6,40 € ;;;1.0;;
412535747;412535747;Kunststoffscharnier schwer 60x60, Nut 10;inkl. Befestigungsmaterial;010122; 6,67 € ;;;1.0;;
412536119;3842536119;Konsole links L1: 255 mm, L2: 228 mm ;inkl. Befestigungsmaterial;010123; 24,11 € ;;;1.0;;
412536120;3842536120;Konsole rechts L1: 255 mm, L2: 228 mm ;inkl. Befestigungsmaterial;010123; 24,11 € ;;;1.0;;
412536121;3842536121;Konsole links L1: 335 mm, L2: 308 mm ;inkl. Befestigungsmaterial;010123; 25,88 € ;;;1.0;;
412536122;3842536122;Konsole rechts L1: 335 mm, L2: 308 mm ;inkl. Befestigungsmaterial;010123; 25,88 € ;;;1.0;;
412536123;3842536123;Konsole links L1: 415 mm, L2: 388 mm ;inkl. Befestigungsmaterial;010123; 30,19 € ;;;1.0;;
412536124;3842536124;Konsole rechts L1: 415 mm, L2: 388 mm ;inkl. Befestigungsmaterial;010123; 30,19 € ;;;1.0;;
412536125;3842536125;Konsole links L1: 495 mm, L2: 468 mm ;inkl. Befestigungsmaterial;010123; 33,27 € ;;;1.0;;
412536126;3842536126;Konsole rechts L1: 495 mm, L2: 468 mm ;inkl. Befestigungsmaterial;010123; 33,27 € ;;;1.0;;
412536148;3842536148;Potentialausgleich leitfähig Nut 10;Material: Bandstahl nichtrostend;010122; 2,92 € ;;;1.0;;
412536491;3842536491;Winkel S 40/45;Material: Aluminiumdruckguss;010122; 3,17 € ;;;1.0;;
412536495;412536495;Variofix-Block S, Nut 10;Material: Kunststoff PA schwarz;010122; 2,58 € ;;;1.0;;
412536603;3842536603;Hammermutter Nut 10, M8 ;L=19,0 mm, H=3,0 mm, Edelstahl;010124; 1,21 € ;;;1.0;;
412536604;3842536604;Hammermutter ES Nut 10, M6 ;L=19,0 mm, H=3,0 mm, Edelstahl ;010124; 1,21 € ;;;1.0;;
412536672;3842536672;Winkel S 40/45 Set;Material: Aluminiumdruckguss;010122; 5,39 € ;;;1.0;;
412536676;3842536676;Nutenstein einschwenkbar m. Gewindestift;Nut 10 2xM5, L = 30,0 mm;010124; 1,36 € ;;;1.0;;
412536736;3842536736;Lenkrolle mit Feststeller H=195 D=160;Schwerlastrolle, F = 3000 N;010122; 58,72 € ;;;1.0;;
412536737;3842536737;Lenkrolle H = 195 ;Schwerlastrolle, F = 3000 N;010122; 44,54 € ;;;1.0;;
412536738;412536738;Bockrolle;Schwerlastrolle, F = 3000 N;010122; 38,35 € ;;;1.0;;
412538658;3842538658;Endverbinder 45x45, Nut10 Silber pulverb;inkl. Befestigung ;010122; 13,26 € ;;;1.0;;
412538698;3842538698;T-Verbinder 45x45 Nut 10  silber pulverb;inkl. Befestigung;010122; 8,42 € ;;;1.0;;
412538702;3842538702;Verbinder 45° 45 x 45 silber ;pulverbeschichtet Nut 10;010122; 11,80 € ;;;1.0;;
412538704;3842538704;"Drehwinkel 30x30 Nut10/10;M8, inkl. Bef.";silber pulverbeschichtet ;010122; 4,45 € ;;;1.0;;
412538706;3842538706;"Drehwinkel 40x40 Nut10; M8, inkl. Befes.";silber plverbeschichtet;010122; 5,85 € ;;;1.0;;
412538710;3842551599;Winkel 30x30 Nut 10/10  inkl. Befest.;silber pulverbeschichtet;010122; 4,11 € ;;;1.0;;
482538713;3842551609;"Winkel 60x60; inkl. Befestigung,Nut10/10";silber pulverbeschichtet;010122; 8,55 € ;;;1.0;;
412538716;3842551603;"Winkel 40 x 40; inkl. Befestigung, Nut10";silber pulverbeschichtet;010122; 4,22 € ;;;1.0;;
412538717;3842551604;"Winkel 40 x 80; inkl. Befestigung, Nut10";silber pulverbeschichetet;010122; 8,55 € ;;;1.0;;
412538718;3842551612;"Winkel 80x80; inkl. Befestigung, Nut10";silber pulverbeschichtet;010122; 11,25 € ;;;1.0;;
412538719;3842551606;"Winkel 45x45; inkl. Befestigung, Nut10";silber pulverbeschichtet;010122; 4,11 € ;;;1.0;;
412538721;3842551613;"Winkel 90x90; inkl. Befestigung, Nut10";silber pulverbeschichtet;010122; 11,36 € ;;;1.0;;
412538729;412538729;Würfelverbinder 40/2, Nut 10;inkl. Befestigung und 2 Abdeckkappen, FARBE ABDK!!;010122; 8,12 € ;;;1.0;;
412538730;412538730;Würfelverbinder 40/3, Nut 10 silberfarbig lackiert;inkl. Befestigung und 3 Abdeckkappen;010122; 8,87 € ;;;1.0;;
412538731;3842549871;Würfelverbinder 45x45/2, Nut 10 ;silber lackiert;010122; 6,45 € ;;;1.0;;
412538732;3842549873;Würfelverbinder 45x45/3, Nut 10;silber lackiert;010122; 7,05 € ;;;1.0;;
412538750;3842551608;"Winkel 45x180; inkl. Befestigung, Nut10";silber pullverbeschichtet;010122; 10,28 € ;;;1.0;;
412540102;412540102;Adapterplatte für Lenkrolle 40x40 Nut 1;Material:Zinkdruckguss alufarbig pulverb;010122; 1,51 € ;;;1.0;;
412540103;412540103;Adapterplatte für Lenkrolle 45x45 Nut 1;Material:Zinkdruckguss alufarbig pulverb;010122; 1,51 € ;;;1.0;;
412540104;412540104;Adapterplatte für Bockrolle 40x40 Nut 1;Material:Zinkdruckguss alufarbig pulverb;010122; 1,51 € ;;;1.0;;
412540105;412540105;Adapterplatte für Bockrolle 45x45 Nut 1;Material:Zinkdruckguss alufarbig pulverb;010122; 1,51 € ;;;1.0;;
412541008;3842541008;Kugelrolle Stahl verzinkt;-;010122; 7,38 € ;;;1.0;;
412541226;3842541226;Lenkrolle mit Feststeller, D=80, H=108;Felge PA, Rad thermoplastischer Gummi;010122; 14,66 € ;;;1.0;;
412541230;3842541230;Lenkrolle mit Feststeller, D=80, H=108;Rad thermoplastischer Gummi,;010122; 16,69 € ;;;1.0;;
412541231;0.0.602.41;LENKROLLE MIT FESTSTELLER, D100, H=133;Befestigung bauseits;010122; 23,25 € ;;;1.0;;
412541231;0.0.602.40;LENKROLLE MIT FESTSTELLER, D100, H=133;Befestigung bauseits;010122; 23,25 € ;;;1.0;;
412541232;3842541232;Lenkrolle mit Feststeller D125, ESD;Fadenschutz, H=158;010122; 29,55 € ;;;1.0;;
412541232;0.0.418.11;Lenkrolle mit Feststeller D125, ESD;Fadenschutz, H=158;010122; 29,55 € ;;;1.0;;
412541234;3842541234;Lenkrolle, D=80, H=108, Felge PA;Rad thermoplastischer Gummi;010122; 10,63 € ;;;1.0;;
412541235;0.0.420.17;Lenkrolle mit Feststeller, D=75, H=98;Rad thermoplastischer Gummi,;010122; 16,53 € ;;;1.0;;
412541237;0.0.420.15;Lenkrolle D75 ESD;Fadenschutz, H=98;010122; 14,64 € ;;;1.0;;
412541238;3842547835;Lenkrolle, D=80, H=108;Rad thermoplastischer Gummi, Achtung: Befestigung bauseits!!;010122; 13,31 € ;;;1.0;;
412541239;0.0.602.39;Lenkrolle, D100 h=133, leitfähig;Fadenschutz, Rad thermoplastischer Gummi;010122; 18,17 € ;;;1.0;;
412541239;0.0.602.38;Lenkrolle, D100 h=133, leitfähig;Fadenschutz, Rad thermoplastischer Gummi;010122; 18,17 € ;;;1.0;;
412541240;3842541240;Lenkrolle D125, ESD;Fadenschutz, H=158;010122; 26,20 € ;;;1.0;;
412541240;0.0.418.10;Lenkrolle D125, ESD;Fadenschutz, H=158;010122; 26,20 € ;;;1.0;;
412541242;3842541242;Bockrolle, D80, H=108;Rad thermoplastischer Gummi;010122; 12,21 € ;;;1.0;;
412541244;3842541244;Bockrolle, D125, H=158;Rad thermoplastischer Gummi;010122; 18,41 € ;;;1.0;;
412541246;412541246;Lenkrolle mit Feststeller, D100, H=133;Felge PA, Rad thermoplastischer Gummi;010122; 17,85 € ;;;1.0;;
412541247;412541268;Abdeckkappe für Bolzenverbinder D17;Material: Kunststoff PA schwarz;010122; 0,49 € ;;;1.0;;
412541248;412541248;Abdeckkappe für Bolzenverbinder D17;Material: PA lichtgrau RAL7035;010121; 0,49 € ;;;1.0;;
412541249;412541249;Abdeckkappe für Bolzenverbinder D17;Material: PA signalgrau RAL7004;010121; 0,49 € ;;;1.0;;
412541258;3842541228;Lenkrolle mit Feststeller, D125, H=158;Felge PA, Rad thermoplastischer Gummi;010122; 19,72 € ;;;1.0;;
412541266;3842541236;Lenkrolle, D125, h=158, Felge PA;Rad thermoplastischer Gummi;010122; 14,06 € ;;;1.0;;
412541268;412541268;Lenkrolle, D100, h=133, Felge PA, Rad ;thermoplastischer Gummi-Laufbelag;010122; 12,77 € ;;;1.0;;
412541272;0.0.420.16;Lenkrolle mit Feststeller, D=75, H=98;Rad thermoplastischer Gummi,;010122; 10,75 € ;;;1.0;;
412541274;0.0.420.14;Lenkrolle ohne Feststeller, D=75, H=98;Rad thermoplastischer Gummi,;010122; 8,45 € ;;;1.0;;
412541393;3842541393;Nutenstein einschwenkbar mit Feder ;Nut 10, M4, L=19,0 mm, H = 1,5 mm;010124; 0,71 € ;;;1.0;;
412541410;3842541410;Schnellspannverbinder 90° ;Spannhülse 9,8 mm, Nut 10/10;010122; 3,04 € ;;;1.0;;
412541412;3842541412;Schnellspannverbinder 0° ;Spannhülse 9,8 mm, Nut 10/10;010122; 3,04 € ;;;1.0;;
412547890;3842547890;Heberolle D80;mit integriertem Feststellfuß;010121; 95,19 € ;;;1.0;;
412548710;3842548710;Abdeckkappe eckig für Eckwinkel 40;Material: PA signalgrau RAL7004;010122; 1,41 € ;;;1.0;;
412548711;3842548711;Abdeckkappe rund für Eckwinkel 45;Material: PA signalgrau RAL7004;010122; 1,77 € ;;;1.0;;
412548714;3842548714;Abdeckkappe rund für Eckwinkel 40;Material: PA schwarz ESD;010122; 1,84 € ;;;1.0;;
412548715;3842548715;Abdeckkappe ESD rund für Eckwinkel 45;Material: PA schwarz;010122; 1,91 € ;;;1.0;;
412548718;3842548718;Abdeckkappe eckig für Eckwinkel 40;Material: PA signalgrau RAL7004;010122; 1,41 € ;;;1.0;;
412548719;3842548719;Abdeckkappe eckig für Eckwinkel 45;Material: PA signalgrau RAL7004;010122; 1,77 € ;;;1.0;;
412548722;3842548722;Abdeckkappe eckig für Eckwinkel 40;Material: PA schwarz ESD;010122; 1,84 € ;;;1.0;;
412548723;3842548723;Abdeckkappe eckig für Eckwinkel 45;Material: PA schwarz ESD;010122; 1,77 € ;;;1.0;;
412548834;3842548834;Variofix-Block, Nut 10, PA, signalgrau;mit Vierkantmutter M6 und Sicherungsring;010122; 1,67 € ;;;1.0;;
412548840;3842548840;Variofix-Block S, Nut 10;Material: Kunststoff PA RAL7004 signalgr;010122; 2,58 € ;;;1.0;;
412548852;3842548852;Abdeckkappe für Winkel 60x60;Material: PA, Signalgrau RAL7004;010122; 1,05 € ;;;1.0;;
412548854;3842548854;Abdeckkappe für Winkel 40x40;Material: PA, Signalgrau RAL7004;010122; 0,68 € ;;;1.0;;
412548855;3842548855;Abdeckkappe ESD für Winkel 40 x 40;Material: PA schwarz;010122; 0,82 € ;;;1.0;;
412548856;3842548856;Abdeckkappe für Winkel 40x80;Material: PA, Signalgrau RAL7004;010122; 1,94 € ;;;1.0;;
412548857;3842548857;Abdeckkappe ESD  für Winkel 40 x 80;Material: PA schwarz;010122; 2,15 € ;;;1.0;;
412548860;3842548860;Abdeckkappe für Winkel 80x80;Material: PA, Signalgrau RAL7004;010122; 2,80 € ;;;1.0;;
412548861;3842548861;Abdeckkappe ESD für Winkel 80x80;Material. PA schwarz;010122; 3,33 € ;;;1.0;;
412548862;3842548862;Abdeckkappe für Winkel 45x45;Material: PA, Signalgrau RAL7004;010122; 0,83 € ;;;1.0;;
412548863;3842548863;Abdeckkappe für Winkel 45x45, ESD;Material: PA schwarz;010122; 0,97 € ;;;1.0;;
412548864;3842548864;Abdeckkappe für Winkel 45x90;Material: PA, Signalgrau RAL7004;010122; 1,13 € ;;;1.0;;
412548868;3842548868;Abdeckkappe für Winkel 90x90;Material: PA, Signalgrau RAL7004;010122; 1,72 € ;;;1.0;;
412548869;3842548869;Abdeckkappe ESD  für Winkel 90x90;Material: PA schwarz;010122; 2,29 € ;;;1.0;;
412652000;412652000;T-Matic Verbinder mit Nutenstein Nut 10;nur für Profil 45x45L und 45x90L;010122; 2,50 € ;;;1.0;;
412652001;412652001;T-Matic Verbinder mit Nutenstein Nut 10 ;außer Profil 45x45L und 45x90L;010122; 2,54 € ;;;1.0;;
412652003;412652003;Schneidschraube für T-Matic-Verbinder ;außer Profil 45x45L und 45x90L;010122; 1,91 € ;;;1.0;;
413218940;3842218940;Laufrolle D=58mm Nut 10 ;Material: Kunststoff PA glasfaserverst.;010122; 13,34 € ;;;1.0;;
413311950;3842311950;Gelenkfuss 90 M16x85 mm;Material: Stahl verzinkt;010122; 8,42 € ;;;1.0;;
413311951;3842311951;Gelenkfuss 90 M16x145 mm;Material: Stahl verzinkt;010122; 8,91 € ;;;1.0;;
413311956;3842311956;Gelenkfuss D45 M16 145mm;Material: Stahl verzinkt;010122; 5,95 € ;;;1.0;;
413352061;3842352061;Gelenkfuss D45 M12 85mm;Material: Stahl verzinkt;010122; 3,52 € ;;;1.0;;
413500300;413500300;Fußplatte 45x90 M12;Material: Zinkdruckguss blank;010122; 7,49 € ;;;1.0;;
413500301;3842529417;Fußplatte 100x100 M12;Material: Zinkdruckguss blank;010122; 11,23 € ;;;1.0;;
413500302;413500302;Fußpaltte 50x100 M12;Material: Zinkdruckguss blank;010122; 8,41 € ;;;1.0;;
413500303;3842529416;Fußpaltte 80x80 M12;Material:  Zinkdruckguß, blank;010122; 9,17 € ;;;1.0;;
413500306;413500306;Fußplatte 30x60  M8;Material: Zinkdruckguss blank;010122; 4,49 € ;;;1.0;;
413500307;3842536562;Fußplatte 40x80 M12;Material: Zinkdruckguss blank;010122; 6,74 € ;;;1.0;;
413510403;413510403;Hub-Schrauber Profil 40 Nut 10 M8;-;010122; 3,59 € ;;;1.0;;
413510404;413510404;Hub-Schrauber Profil 45 Nut 10 M8;-;010122; 3,59 € ;;;1.0;;
413511893;3842511893;Gelenkfuss 60 M12x85 mm;Material: Stahl verzinkt;010122; 5,95 € ;;;1.0;;
413521817;3842521817;Dämpfungsring D45;Material: Polyurethan transparent;010122; 1,68 € ;;;1.0;;
413522301;3842522301;Dämpfungsring D60;Material: Polyurethan transparent;010122; 2,28 € ;;;1.0;;
413522303;3842522303;Dämpfungsring D90;Material: Polyurethan transparent;010122; 3,15 € ;;;1.0;;
413527186;3842527186;Gelenkfuss 90 M16x200 mm;Material: Stahl verzinkt;010122; 10,81 € ;;;1.0;;
413536470;3842536470;Gelenkfuss 45 M12x160 mm;Material: Stahl verzinkt;010122; 6,25 € ;;;1.0;;
414500610;414500610;Gewindeeinsatz S12/M8;für Gelenk Nut 10;010122; 0,87 € ;;;1.0;;
414500611;414500611;Gelenk 45 mit Klemmhebel Nut 10;Aluminiumdruckguss alufarbig lackiert;010122; 23,04 € ;;;1.0;;
414500612;414500612;Gewindeeinsatz S8/M5;-;010122; 0,53 € ;;;1.0;;
414500650;414500650;Eindrehwerkzeug für Gewindeeinsatz;"S12/M8; Material: Stahl verzinkt";010122; 13,62 € ;;;1.0;;
414502694;3842502684;Gelenk 45, Nut 10 Aluminiumdruckguss ;alufarbig lackiert;010122; 18,54 € ;;;1.0;;
414502694;3842538686;Gelenk 45, Nut 10 Aluminiumdruckguss ;alufarbig lackiert;010122; 18,54 € ;;;1.0;;
414521262;3842521262;Tragarmgelenk 45 x 90 ;Aluminiumdruckguss, alufarbig lackiert;010122; 26,97 € ;;;1.0;;
414521263;3842521263;Tragarmgelenk 45 x 45 ;Aluminiumdruckguss, alufarbig lackiert;010122; 23,76 € ;;;1.0;;
